Star_Index,Confidence,Vetting_SNR,Period
4,0.5745357,0.26256623614321134,27.608494921514314
445,0.5745357,0.11631933487503025,12.179226069246438
565,0.5745357,0.07452076111265754,85.91954022988506
1,0.5745357,0.055916871094076885,20.271186440677965
59,0.5745357,0.055083284940141565,60.4040404040404
2,0.5745357,0.039433127557892335,67.04035874439462
460,0.5745357,0.023083692881407082,20.271186440677965
39,0.5745357,0.004276385818664388,100.0
562,0.5745357,-0.0022411000382649092,100.0
481,0.5745357,-0.004031363365304141,100.0
504,0.5745357,-0.005737967326043325,100.0
505,0.5745357,-0.00933898126744092,100.0
431,0.5745357,-0.011343496651966023,100.0
7,0.5745357,-0.01197148715591435,100.0
510,0.5745357,-0.01250887424052164,100.0
455,0.5745357,-0.012983354972112516,100.0
560,0.5745357,-0.014198494454679474,100.0
434,0.5745357,-0.015005939737882518,100.0
457,0.5745357,-0.015771965770039358,100.0
474,0.5745357,-0.016334057549567457,100.0
